Company,Exchange,Ticker,Sample year,Corrected_year,U.S.-listed,gvkey,Short-seller ,Result Name,CIQ ID,Primary Industry,Ticker,Cash and Equivalents,Total Revenues,Net Income,Short Term Investments,Cost Of Revenues,"Depreciation & Amort., Total",Total Cash & ST Investments,Cost Of Goods Sold,Asset Writedown & Restructuring Costs,Accounts Receivable,Gross Profit,Stock-Based Compensation,Total Receivables,Selling General & Admin Exp.,Net Cash From Discontinued Ops.,Inventory,R & D Exp.,Change In Accounts Receivable,Total Current Assets,Depreciation & Amort.,Change In Inventories,"Gross Property, Plant & Equipment",Amort. of Goodwill and Intangibles,Change in Acc. Payable,"Net Property, Plant & Equipment",Operating Income,Change in Unearned Rev.,Long-term Investments,Net Interest Exp.,Change in Inc. Taxes,Total Intangibles,EBT Excl Unusual Items,Change in Def. Taxes,Total Assets,Total Unusual Items,Cash from Ops.,Accounts Payable,EBT Incl Unusual Items,Capital Expenditure,Short-term Borrowings,Income Tax Expense,"Sale of Property, Plant, and Equipment",Current Portion of Long Term Debt,Earnings from Cont. Ops.,Cash Acquisitions,Curr. Port. of Cap. Leases,Earnings of Discontinued Ops.,Divestitures,Total Current Liabilities,Extraord. Item & Account. Change,Sale (Purchase) of Intangible assets,Long-Term Debt,Net Income,Net Cash from Investments,Capital Leases,Pref. Dividends and Other Adj.,Cash from Investing,Minority Interest,Merger/Restructuring Costs,Short Term Debt Issued,Total Liabilities,NI to Common Incl Extra Items,Long-Term Debt Issued,Total Pref. Equity,NI to Common Excl Extra Items,Total Debt Issued,Common Stock,Basic EPS,Short Term Debt Repaid,Retained Earnings,Basic EPS Excl. Extra Items,Long-Term Debt Repaid,Treasury Stock,Weighted Avg. Basic Shares Out.,Total Debt Repaid,Total Common Equity,Diluted EPS,Issuance of Common Stock,Total Equity,Diluted EPS Excl Extra Itmes,Repurchase of Common,Total Liabilities And Equity,Weighted Avg. Diluted Shares Out.,Issuance of Preferred Stock,Normalized Basic EPS,Repurchase of Preferred,Normalized Diluted EPS,IQ_COMMON_DIV_CF,IQ_PREF_DIV_CF,EBITDA,Total Dividends Paid,Shares Outstanding on Balance Sheet Date,EBITDA (Incl. Equity Inc. from Affiliates),Cash from Financing,Total Shares Out. On Filing Date,Net Change in Cash,Total Shares Outstanding on BS Date,EBIT,Book Value/Share,EBITDAR,Tangible Book Value,Net Rental Expense,Cash Interest Paid,Tangible Book Value/Share,Normalized Net Income,Cash Taxes Paid,Total Debt,Same Store Sales Growth %,Net Debt Issued,Total Current Debt,Effective Tax Rate,Levered Free Cash Flow,Total Non-Current Debt,Payout Ratio,Unlevered Free Cash Flow,Net Debt,Interest On Long Term Debt,Change in Net Working Capital,Total Capitalization,Total Current Taxes,EBITDA - Capex,Full Time Employees,Total Deferred Taxes
CorMedix Inc.,NYSE MKT, CRMD,2015,fy2015,1,GV_183945,Pump Stopper,"CorMedix, Inc.",IQ79611048,Pharmaceuticals,AMEX:CRMD,11.81742,0.21013,-18.18753,23.56839,0.31872,0.01508,35.3858,0.31872,0,0.31577,-0.10859,3.22566,0.31577,10.26356,0,0.37657,6.28182,-0.24819,37.05886,0,-0.03854,0.13022,0,0.82511,0.03787,-16.65397,0.11308,0,0.05643,0,0,-18.18753,0,37.10173,0,-12.5269,1.7094,-18.18753,-0.01545,0,0,0,0,-18.18753,0,0,0,0,3.06136,0,0,0,-18.18753,-23.59263,0,0.03312,-23.60807,0,0,0,3.09024,-18.22065,0,0.00045,-18.22065,0,0.03596,-0.58132,0,-94.3916,-0.58132,0,0,31.34355,0,34.01104,-0.58132,43.60297,34.01149,-0.58132,0,37.10173,31.34355,0,-0.36266,0,-0.36266,42810,42369,-16.6389,0,0,-16.6389,43.62949,35.85419,7.47788,(Invalid Formula Name),-16.65397,0.94859,-16.56678,34.01104,0.07212,0.00396,0.94859,-11.36721,0,0,0,0,0,0,-6.52458,0,0,-6.5221,-35.3858,0,-0.66134,34.01149,0,-16.65434,9,0
CARBO Ceramics Inc.,NYSE, CRR,2015,fy2015,1,GV_062686,Forensic Research Analyst,CARBO Ceramics Inc.,IQ348434,Oil and Gas Equipment and Services,NYSE:CRR,78.866,279.574,-109.544,0,327.864,54.457,78.866,327.864,53.194,48.296,-48.29,7.547,48.596,62.199,0,104.558,0,81.371,285.277,0,27.022,887.631,0,-7.861,537.731,-111.286,0,0,-0.47,19.78,7.254,-102.95,0,836.369,-60.799,70.577,10.709,-163.749,-62.747,0,-54.205,0,33,-109.544,0,0,0,0,70.29,0,0,55,-109.544,0,0,0,-62.747,0,-7.835,0,194.063,-109.544,70,0,-109.544,70,0.233,-4.76292,0,614.708,-4.76292,-7,0,22.99932,-7,642.306,-4.76292,0,642.306,-4.76292,-0.58,836.369,22.99932,0,-2.79764,0,-2.79764,43167,42369,-56.829,-14.666,23.2807,-56.829,47.754,23.4879,54.568,(Invalid Formula Name),-111.286,27.58964,-33.072,635.052,23.757,2.613,27.27805,-64.34375,0,88,0,63,33,NM,20.89588,55,NM,21.48025,9.134,2.973,-91.777,730.306,2.595,-119.576,665,-56.8
Caesarstone Sdot-Yam Ltd.,Nasdaq, CSTE,2015,fy2015,1,GV_170758,Spruce Point Capital,Caesarstone Ltd.,IQ27297091,Building Products,NasdaqGS:CSTE,62.747,499.515,77.766,0.06,299.29,22.334,62.807,299.29,0,59.185,200.225,2.293,73.799,96.133,0,95.479,3.052,-2.968,249.701,0,-15.267,331.829,0,-8.659,224.499,101.04,0,0,-3.355,0,42.704,97.955,7.051,529.742,-4.654,85.661,46.382,93.301,-76.495,3.241,13.843,0,3.251,79.458,0,0,0,0,80.86,0,0,8.472,77.766,11.987,0,0,-65.736,8.841,0,3.241,120.68,77.766,0,0,77.766,3.241,0.37,2.20594,0,258.978,2.20594,-1.092,0,35.253,-1.092,400.221,2.19,0,409.062,2.19,0,529.742,35.464,0,1.68865,0,1.6786,43171,42369,123.374,0,35.29476,123.374,2.149,35.19026,20.467,(Invalid Formula Name),101.04,11.33939,135.483,357.517,12.109,0.18,10.12947,59.52988,16.372,14.964,0,2.149,6.492,14.8369,-28.928,8.472,0,-26.783,-47.843,0.64,38.572,424.026,6.792,46.879,1282,7.051
Cellceutix Corporation,OTC/Pink, CTIX,2015,fy2015,0,GV_176692,Bleecker Street Research,Innovation Pharmaceuticals Inc.,IQ39474978,Biotechnology,OTCPK:IPIX,8.41,0,-13.145,0,0,0.404,8.41,0,0,0,0,0.4,0.012,2.425,0,0,10.531,0,8.769,0,0,0.052,0,-0.826,0.038,-12.956,0,0,-0.198,0,5.018,-13.145,0,14.319,0,-13.071,0.152,-13.145,-0.009,2.022,0,0,0,-13.145,0,0,0,0,7.295,0,-0.45,0,-13.145,0,0,0,-0.459,0,0,0,7.295,-13.145,0,0,-13.145,0,0.012,-0.11422,0,-41.165,-0.11422,0,0,115.08737,0,7.024,-0.11422,16.952,7.024,-0.11422,0,14.319,115.08737,0,-0.07139,0,-0.07139,42989,42185,-12.552,0,0,-12.552,16.952,118.17054,3.422,(Invalid Formula Name),-12.956,0.05964,-12.345,2.006,0.207,0.366,0.01703,-8.21563,0,2.022,0,0,2.022,0,-10.02075,0,0,-9.8945,-6.388,0.202,2.142,9.046,0,-12.561,14,0
DH Corporation,Toronto, DH-CA,2015,fy2015,0,GV_146543,Lawton Park Capital Management,Danaher Corporation,IQ265621,Health Care Equipment,NYSE:DHR,790.8,14433.7,3357.4,0,6610.7,880.8,790.8,6610.7,3.6,2985.1,7823,103.8,2985.1,4634.9,969.6,1573.1,861.4,0.8,7836.7,0,146.5,3989.7,0,50.3,2302.7,2326.7,0,401.4,-135.2,0,31560.2,2191.5,-184.2,48222.2,-152.1,3801.8,1391.9,2039.4,-512.9,0,292.7,60.4,845.2,1746.7,-14247.8,0,1610.7,0,6170.4,0,0,12025.2,3357.4,-44.1,0,0,-14951,73.7,-164.5,3511.2,24458.2,3357.4,5682.9,0,1746.7,9194.1,8,4.80934,0,21012.3,2.50208,-35.5,0,698.1,-35.5,23690.3,4.74185,249,23764,2.46845,0,48222.2,708.5,0,1.96202,0,1.93322,43152,42369,3207.5,-354.1,686.8,3207.5,9050.2,687.15452,-2214.8,(Invalid Formula Name),2326.7,34.49374,3416.5,-7869.9,209,126,-11.45879,1369.6875,584,12870.4,0,9158.6,845.2,14.3522,1219.0125,12025.2,10.5468,1306.3875,12079.6,0,619.5,36634.4,476.9,2694.6,81000,-184.2
Digimarc Corporation,Nasdaq, DMRC,2015,fy2015,1,GV_181290,Street Sweeper,Digimarc Corporation,IQ46271970,Application Software,NasdaqGS:DMRC,3.16,22.189,-17.934,33.027,10.472,1.959,36.187,10.472,0.474,4.616,11.717,5.077,4.616,17.229,0,0,12.465,-0.064,42.29,0,0,7.508,0,0.125,3.01,-17.977,-0.534,2.999,0,0,7.727,-17.868,0,56.364,0,-9.74,1.657,-17.868,-1.218,0,0.066,0,0,-17.934,0,0,0,0,4.68,0,-0.895,0,-17.934,-3.076,0,0,-5.189,0,0,0,4.906,-17.934,0,0.05,-17.934,0,0.009,-2.18761,0,-26.04,-2.18761,0,0,8.198,0,51.408,-2.19,14.41,51.458,-2.19,-2.443,56.364,8.198,0,-1.36222,0,-1.36222,43153,42369,-16.018,0,8.511,-16.018,11.967,8.511,-2.962,(Invalid Formula Name),-17.977,6.04018,-14.973,43.681,1.045,0,5.1323,-11.1675,-1.233,0,0,0,0,NM,-5.61863,0,0,-5.61863,-36.187,0,-0.694,51.458,0.066,-17.236,166,0
"Diplomat Pharmacy, Inc.",NYSE, DPLO,2015,fy2015,1,GV_021047,Lakewood Capital,"Diplomat Pharmacy, Inc.",IQ35648556,Health Care Services,NYSE:DPLO,27.6,3366.631,25.776,0,3103.392,26.3,27.6,3103.392,0.15,254.682,263.239,3.936,254.682,208.32,0,165.95,0,-50.771,460.97,0,-41.657,24.605,0,43.202,16.538,54.919,0,4.959,-5.239,0,518.212,49.988,0,1001.579,-8.982,29.447,296.587,41.006,-4.624,0,16.234,0,6,24.772,-293.496,0,0,0,371.902,0,-12.021,106.706,25.776,-1.459,0,0,-311.573,3.575,-2.258,0,486.033,25.776,120,0,25.776,120,451.62,0.42444,0,31.13,0.42444,-3,0,60.73013,-3,511.971,0.41,198.329,515.546,0.41,0,1001.579,63.09695,0,0.53098,0,0.51106,43160,42369,81.219,0,64.51306,81.219,291.769,64.51306,9.643,(Invalid Formula Name),54.919,7.93593,84.514,-6.241,3.295,3.949,-0.09674,32.2465,0.351,112.706,0,117,6,39.5893,40.378,106.706,0,42.68938,85.106,5.239,9.767,628.252,20.849,76.595,1565,-4.615
"DS Healthcare Group, Inc.",Nasdaq, DSKX,2015,fy2015,1,GV_184339,Bleecker Street Research,"DS Healthcare Group, Inc.",IQ59274026,Personal Products,-,4.5176,11.77776,-10.74281,0,5.37752,0.20234,4.5176,5.37752,0.3375,1.55756,6.40024,7.53135,1.55756,16.62237,0,3.73321,0,-0.22624,10.06436,0,0.13704,0.43974,0,-0.25161,0.09954,-10.22213,0,0,-0.11703,0,0.48377,-10.27461,0,10.71543,-0.3375,-2.50921,1.23515,-10.61211,-0.00714,0.01308,0.13069,0,0.09704,-10.74281,0,0,0,0,3.30722,0,0,0.11505,-10.74281,0,0,0,-0.00714,0,0,0,3.42227,-10.74281,0.1871,0,-10.74281,0.1871,0.02256,-0.60268,0,-20.97875,-0.60268,0,0,17.82517,0,7.29316,-0.60268,6.0455,7.29316,-0.60268,0,10.71543,17.82517,0,-0.36026,0,-0.36026,42825,42369,-10.01978,0,22.55677,-10.01978,5.7466,22.55677,3.38905,(Invalid Formula Name),-10.22213,0.32332,-9.48477,6.80939,0.53501,0.05255,0.30188,-6.42163,0,0.22517,0,0.1871,0.11012,NM,1.36907,0.11505,0,1.44221,-4.29244,0,-0.10449,7.51832,0.13069,-10.02692,114,0
iDreamSky Technology Limited,Nasdaq, DSKY,2015,fy2015,1,GV_021049,Pump Stopper,iDreamSky Technology Limited,IQ267376989,Casinos and Gaming,-,594.312,1638.525,46.885,0,1031.462,77.749,594.312,1031.462,8.162,354.647,607.063,103.839,374.887,380.372,0,0,100.62,-148.599,1287.232,0,0,31.808,0,4.087,16.917,129.133,28.033,178.324,16.46,31.16,536.71,111.25,0,2050.005,0,90.92,212.023,111.25,-9.089,110,65.362,0,0,45.888,-19.917,0,0,0,512.69,0,-372.57,0,46.885,-124.027,0,0,-525.603,20.267,0,110,603.912,46.885,0,0,46.885,110,0.112,1.05688,-20,-1195.898,1.05688,0,-9.232,44.3615,-20,1425.826,1.04,0.674,1446.093,1.04,-9.235,2050.005,45.83175,0,1.58985,-8.683,1.53885,42489,42369,206.882,0,0,204.285,77.492,45.30464,-335.517,(Invalid Formula Name),129.133,31.47197,235.364,889.116,28.482,0,19.62528,70.52825,0,110,0,90,110,58.7523,-295.19788,0,0,-295.19788,-484.312,0,175.835,1556.093,32.908,197.793,613,32.454
DAVIDsTEA Inc.,Nasdaq, DTEA,2015,fy2015,1,GV_023557,Melissa Davis,DAVIDsTEA Inc.,IQ184226946,Specialty Stores,NasdaqGM:DTEA,19.784,141.883,6.454,0,64.185,5.447,19.784,64.185,2.74,1.332,77.698,1.292,3.207,57.542,0,12.517,0,0,38.558,4.874,0,53.838,0.573,0,35.621,13.904,0,0,-3.253,0,1.669,10.268,0,79.06,-4.147,16.966,9.719,6.121,-12.432,0,-0.333,0,3.96,6.454,0,0.327,0,0,19.707,0,-0.721,37.637,6.454,0,0.225,0,-13.153,0,0,0,79.106,6.454,0,0,6.454,0,0.385,0.53852,0,-4.129,0.53852,-3.689,0,11.98476,-3.689,-0.046,0.45355,0.04,-0.046,0.45355,0,79.06,19.96685,4.404,0.53547,0,0.32141,42838,42035,19.351,0,0.05202,19.351,0.621,23.15557,4.434,(Invalid Formula Name),13.904,-0.34843,37.125,-1.715,17.774,1.012,-12.99026,6.4175,4.232,42.149,11.1,-3.689,4.287,NM,-1.52225,37.862,0,0.422,22.365,0.028,1.509,42.103,0,6.919,340,0
DAVIDsTEA Inc.,Nasdaq, DTEA,2015,fy2015,1,GV_023557,GeoInvesting,DAVIDsTEA Inc.,IQ184226946,Specialty Stores,NasdaqGM:DTEA,19.784,141.883,6.454,0,64.185,5.447,19.784,64.185,2.74,1.332,77.698,1.292,3.207,57.542,0,12.517,0,0,38.558,4.874,0,53.838,0.573,0,35.621,13.904,0,0,-3.253,0,1.669,10.268,0,79.06,-4.147,16.966,9.719,6.121,-12.432,0,-0.333,0,3.96,6.454,0,0.327,0,0,19.707,0,-0.721,37.637,6.454,0,0.225,0,-13.153,0,0,0,79.106,6.454,0,0,6.454,0,0.385,0.53852,0,-4.129,0.53852,-3.689,0,11.98476,-3.689,-0.046,0.45355,0.04,-0.046,0.45355,0,79.06,19.96685,4.404,0.53547,0,0.32141,42838,42035,19.351,0,0.05202,19.351,0.621,23.15557,4.434,(Invalid Formula Name),13.904,-0.34843,37.125,-1.715,17.774,1.012,-12.99026,6.4175,4.232,42.149,11.1,-3.689,4.287,NM,-1.52225,37.862,0,0.422,22.365,0.028,1.509,42.103,0,6.919,340,0
DeVry Education Group Inc.,NYSE, DV,2015,fy2015,1,GV_003905,Alpha Exposure,Adtalem Global Education Inc.,IQ27536,Education Services,NYSE:ATGE,353.022,1909.943,139.899,0,1000.055,90.556,353.022,1000.055,6.08,114.463,909.888,17.44,139.163,708.285,-0.16,0,0,-96.534,559.599,0,0,1093.004,0,10.83,545.874,201.603,-9.314,0,-3.25,0,876.06,198.353,0,2039.832,-44.693,205.503,63.083,153.66,-88.707,0,18.537,6.1,0,135.123,-73.117,0,5.576,0,321.909,0,0,0,139.899,-0.158,0,0,-155.882,9.62,-42.913,0,445.402,139.899,0,0,134.323,0,0.76,2.16743,0,1796.361,2.08104,-5.978,-485.453,64.546,-5.978,1584.81,2.14542,10.032,1594.43,2.06,-25.918,2039.832,65.277,0,1.90826,0,1.88689,42971,42185,292.159,-23.23,63.623,292.159,-48.613,63.513,-2.77,(Invalid Formula Name),201.603,24.90939,382.259,708.75,90.1,1.8,11.13984,123.17063,23.943,0,0,-5.978,0,12.0636,159.39325,0,16.6048,162.71388,-353.022,5.313,-17.423,1594.43,15.504,203.452,10136,3.033
Dyax Corp,Nasdaq, DYAX,2015,fy2015,1,GV_112754,WoodPecker Research,Dyax Corp.,IQ27779,Biotechnology,-,94.554,87.096,-60.677,199.883,75.277,1.038,294.437,75.277,0,11.914,11.819,19.641,11.914,56.077,0,4.374,0,1.021,319.576,0,-8.472,14.889,0,19.434,5.779,-44.258,-1.727,0,-8.109,0,0,-52.377,0,336.389,-8.3,-34.06,1.324,-60.677,-1.803,0,0,0,0,-60.677,0,0,0,0,43.58,0,0,0,-60.677,-36.1,0,0,-37.903,0,-8.3,0,49.169,-60.677,0,0,-60.677,0,1.472,-0.42163,0,-606.518,-0.42163,-75.715,0,143.90957,-75.715,287.22,-0.42163,236.859,287.22,-0.42163,0,336.389,143.90957,0,-0.22747,0,-0.22747,42446,42369,-43.22,0,147.22989,-43.22,147.125,147.22989,75.162,(Invalid Formula Name),-44.258,1.95083,-41.62,287.22,1.6,7.697,1.95083,-32.73563,0,0,0,-75.715,0,0,5.99375,0,0,11.52875,-294.437,0,-20.314,287.22,0,-45.023,0,0
"Ebix, Inc.",Nasdaq, EBIX,2015,fy2015,1,GV_013480,Street Sweeper,"Ebix, Inc.",IQ266099,Application Software,NasdaqGS:EBIX,57.179,265.482,79.533,1.538,72.437,10.634,58.717,72.437,0,47.171,193.045,1.821,48.189,64.528,0,0,30.702,-7.32,116.83,10.634,0,50.142,0,-19.895,34.088,87.181,-1.762,0,-4.08,0.095,488.483,85.106,0,675.989,1.533,48.686,5.8,86.639,-13.994,0,7.106,0,0.606,79.533,-12.475,0,0,0,51.266,0,-3.489,206.465,79.533,-7.435,0.035,0,-37.393,0,0,0,267.018,79.533,86,0,79.533,86,3.342,2.29413,0,378.787,2.29413,-0.652,0,34.668,-0.652,408.971,2.28,2.209,408.971,2.28,-83.855,675.989,34.901,0,1.5343,0,1.52406,43160,42369,97.815,-10.472,33.41611,97.815,-6.307,32.95086,4.879,(Invalid Formula Name),87.181,12.23874,103.735,-79.512,5.92,5.379,-2.37945,53.19125,28.637,207.106,0,85.348,0.606,8.2018,19.64675,206.5,13.1668,22.32413,148.389,0,27.136,616.077,6.247,83.821,2707,0.859
"Ebix, Inc.",Nasdaq, EBIX,2015,fy2015,1,GV_013480,Melissa Davis,"Ebix, Inc.",IQ266099,Application Software,NasdaqGS:EBIX,57.179,265.482,79.533,1.538,72.437,10.634,58.717,72.437,0,47.171,193.045,1.821,48.189,64.528,0,0,30.702,-7.32,116.83,10.634,0,50.142,0,-19.895,34.088,87.181,-1.762,0,-4.08,0.095,488.483,85.106,0,675.989,1.533,48.686,5.8,86.639,-13.994,0,7.106,0,0.606,79.533,-12.475,0,0,0,51.266,0,-3.489,206.465,79.533,-7.435,0.035,0,-37.393,0,0,0,267.018,79.533,86,0,79.533,86,3.342,2.29413,0,378.787,2.29413,-0.652,0,34.668,-0.652,408.971,2.28,2.209,408.971,2.28,-83.855,675.989,34.901,0,1.5343,0,1.52406,43160,42369,97.815,-10.472,33.41611,97.815,-6.307,32.95086,4.879,(Invalid Formula Name),87.181,12.23874,103.735,-79.512,5.92,5.379,-2.37945,53.19125,28.637,207.106,0,85.348,0.606,8.2018,19.64675,206.5,13.1668,22.32413,148.389,0,27.136,616.077,6.247,83.821,2707,0.859
"Energy Focus, Inc.",Nasdaq, EFOI,2015,fy2015,1,GV_030614,Street Sweeper,"Energy Focus, Inc.",IQ335698,Electrical Components and Equipment,NasdaqCM:EFOI,34.64,64.403,8.78,0,35.111,0.266,34.64,35.111,0,10.11,29.292,0.813,10.11,16.63,-0.691,7.732,2.81,-7.493,53.222,0,-2.602,5.258,0,0.135,2.429,9.852,-0.04,0,-0.085,0,0,9.761,0,55.702,-0.141,3.755,7.295,9.62,-2.242,0,0.149,0,0,9.471,0,0,-0.691,0,10.305,0,0,0,8.78,0,0,0,-2.061,0,0,0,10.382,8.78,0,0,9.471,0,0.001,0.84318,-0.453,-80.05,0.90954,-0.013,0,10.413,-0.466,45.32,0.81573,26.423,45.32,0.88,0,55.702,10.752,0,0.58587,0,0.56739,43153,42369,10.118,0,11.64898,10.118,25.511,11.64898,27.205,(Invalid Formula Name),9.852,3.89047,10.918,45.32,0.8,0.084,3.89047,6.10063,0.2,0,0,-0.466,0,1.5488,-0.95563,0,0,-0.9425,-34.64,0.085,5.937,45.32,0.149,7.876,122,0
"Endurance International Group Holdings, Inc",Nasdaq, EIGI,2015,fy2015,1,GV_197559,Gotham City Research,"Endurance International Group Holdings, Inc.",IQ112165,Internet Services and Infrastructure,NasdaqGS:EIGI,33.03,741.315,-25.77,0,425.08,125.067,33.03,425.08,0,12.04,316.235,29.925,12.24,225.907,0,0,26.071,-1.659,117.586,0,0,141.15,0,9.926,62.675,64.257,34.241,31.035,-58.414,0,1580.128,-18.379,0,1802.5,3.951,177.228,12.28,-14.428,-31.243,0,11.342,0.284,77.5,-25.77,-97.795,5.866,0,0,487.921,0,-0.076,1014.885,-25.77,-8.475,7.215,0,-133.801,0,-1.489,0,1622.826,-25.77,147,0,-25.77,147,0.014,-0.19621,0,-667.362,-0.19621,-145.322,0,131.34056,-145.322,179.674,-0.19621,2.224,179.674,-0.19621,0,1802.5,131.34056,0,-0.08746,0,-0.08746,43153,42369,189.324,0,132.02456,174.684,-41.632,137.4793,0.651,(Invalid Formula Name),64.257,1.36091,197.524,-1400.454,8.2,57.338,-10.60753,-11.48688,4.51,1105.466,0,1.678,83.366,NM,204.33513,1022.1,0,241.02063,1072.436,57.564,-77.187,1285.14,4.222,158.081,2593,7.12
"Ekso Bionics Holdings, Inc.",OTC/Pink, EKSO,2015,fy2015,0,GV_017727,Pump Stopper,"Ekso Bionics Holdings, Inc.",IQ206802444,Health Care Equipment,NasdaqCM:EKSO,19.552,8.661,-19.59,0,7.482,0.933,19.552,7.482,0,2.069,1.179,1.731,2.069,16.602,0,1.056,6.138,-0.577,25.201,0,-0.2,4.878,0,1.738,2.625,-21.561,1.266,0,-0.002,0,1.773,-19.59,0,32.198,0,-18.269,2.694,-19.59,-1.492,0,0,0,0,-19.59,0,0.08,0,0,8.619,0,0,0,-19.59,0,0,4.655,-1.492,0,0,0,23.39,-24.245,0,0,-24.245,0,0.015,-1.65993,0,-91.391,-1.65993,-0.06,0,14.606,-0.06,8.808,-1.83106,0.278,8.808,-1.83106,0,32.198,14.609,13.906,-0.83827,0,-0.8381,43172,42369,-20.628,0,15.027,-20.628,14.124,15.50795,-5.638,(Invalid Formula Name),-21.561,0.58614,-20.286,7.035,0.342,0.012,0.46816,-12.24375,0.005,0.08,0,-0.06,0.08,0,-11.39775,0,0,-11.38963,-19.472,0.013,-0.427,8.888,0,-22.12,95,0
eMagin Corporation,NYSE MKT, EMAN,2015,fy2015,1,GV_114698,Street Sweeper,eMagin Corporation,IQ527181,Electronic Manufacturing Services,AMEX:EMAN,9.273,25.142,-4.105,0,18.164,1.53,9.273,18.164,0,4.953,6.978,0.606,4.953,6.687,0,3.901,4.353,-0.366,18.616,0,-0.567,18.468,0,0.764,9.131,-4.062,0,0,-0.043,0,0.243,-4.105,0,28.083,0,-1.261,1.636,-4.105,-1.189,0,0,0,0,-4.105,0,0,0,0,4.677,0,0,0,-4.105,0.75,0,0,-0.439,0,0,0,4.677,-4.105,0,0,-4.105,0,0.03,-0.16228,0,-210.938,-0.16228,0,-0.5,25.29604,0,23.406,-0.16228,5.833,23.406,-0.16228,0,28.083,25.29604,0,-0.10142,0,-0.10142,42979,42369,-2.532,0,29.3881,-2.532,5.683,29.3881,3.983,(Invalid Formula Name),-4.062,0.79644,-1.632,23.163,0.9,0.013,0.78818,-2.56563,0,0,0,0,0,0,-1.05163,0,0,-1.02475,-9.273,0,-0.567,23.406,0,-3.721,87,0
Erin Energy Corporation,NYSE MKT, ERN,2015,fy2015,1,GV_184652,Cannell Capital,Erin Energy Corporation,IQ62604221,Oil and Gas Exploration and Production,OTCPK:ERIN.Q,8.363,68.429,-430.937,0,88.549,360.318,8.363,88.549,0,1.029,-20.12,5.027,1.344,15.905,0,4.789,0,-0.804,25.027,97.179,-2.502,793.775,0,84,370.065,-416.433,0,0,-17.986,0,0,-431.899,0,395.159,0,2.145,174.918,-431.899,-84.039,0,0,0,96.558,-431.899,0,0,0,0,339.811,0,0,120.006,-430.937,0,0,0,-84.039,0.797,0,0,480.426,-430.937,61.815,0,-430.937,61.815,0.212,-2.03641,0,-875.891,-2.03641,-0.337,0,211.616,-0.337,-86.064,-2.04,1.855,-85.267,-2.04,0,395.159,211.616,0,-1.27105,0,-1.27105,43175,42369,-56.115,0,211.61577,-56.115,63.886,212.01438,-16.78,(Invalid Formula Name),-416.433,-0.4067,-55.215,-86.064,0.9,11.114,-0.4067,-268.97488,0,216.564,0,61.478,96.558,0,115.69613,120.006,0,124.17138,208.201,0,-103.136,131.297,0,-140.154,84,0
Eros International Plc,NYSE, EROS,2015,fy2015,1,GV_278246,Alpha Exposure,Eros International Plc,IQ25696430,Movies and Entertainment,NYSE:EROS,153.664,284.175,40.344,0,155.777,1.089,153.664,155.777,0,209.676,128.398,21.915,210.131,49.546,0,0.475,0,-93.975,366.592,0,0.067,16.572,0,1.361,9.272,78.852,0,29.917,-5.861,0,501.011,63.806,0,1149.533,-1.298,117.955,10.679,62.508,-0.529,68.158,13.178,0.029,28.239,49.33,-2.465,0,0,0,128.481,0,-277.538,237.557,40.344,0,0,0,-279.24,58.721,0,69.815,393.478,40.344,110.215,0,40.344,180.03,30.622,0.74329,-68.279,349.196,0.74329,-27.573,0,54.27785,-95.852,697.334,0.72428,110.915,756.055,0.72428,0,1149.533,54.96875,0,0.56916,0,0.56201,42947,42094,79.941,0,0,79.941,177.561,55.61825,8.215,(Invalid Formula Name),78.852,12.53786,81.365,196.323,1.424,6.929,3.52983,30.89275,8.8,333.954,0,84.178,96.397,21.0821,-198.38188,237.557,0,-191.6375,180.29,0,103.719,1090.009,7.472,79.412,304,5.706
Eros International Plc,NYSE, EROS,2015,fy2015,1,GV_278246,Glaucus Research Group,Eros International Plc,IQ25696430,Movies and Entertainment,NYSE:EROS,153.664,284.175,40.344,0,155.777,1.089,153.664,155.777,0,209.676,128.398,21.915,210.131,49.546,0,0.475,0,-93.975,366.592,0,0.067,16.572,0,1.361,9.272,78.852,0,29.917,-5.861,0,501.011,63.806,0,1149.533,-1.298,117.955,10.679,62.508,-0.529,68.158,13.178,0.029,28.239,49.33,-2.465,0,0,0,128.481,0,-277.538,237.557,40.344,0,0,0,-279.24,58.721,0,69.815,393.478,40.344,110.215,0,40.344,180.03,30.622,0.74329,-68.279,349.196,0.74329,-27.573,0,54.27785,-95.852,697.334,0.72428,110.915,756.055,0.72428,0,1149.533,54.96875,0,0.56916,0,0.56201,42947,42094,79.941,0,0,79.941,177.561,55.61825,8.215,(Invalid Formula Name),78.852,12.53786,81.365,196.323,1.424,6.929,3.52983,30.89275,8.8,333.954,0,84.178,96.397,21.0821,-198.38188,237.557,0,-191.6375,180.29,0,103.719,1090.009,7.472,79.412,304,5.706
